,accuracy,precision_pos,recall_pos,f1_pos
baseline,0.8516736615825571,0.7443365695792881,0.5859872611464968,0.6557377049180327
debiased_reweigh_sex,0.8453270549698024,0.7462077012835473,0.5430997876857749,0.6286556893585648
