,accuracy,precision,recall,f1
Amer-Indian-Eskimo,0.8958333333333334,0.4,0.5,0.4444444444444444
Asian-Pac-Islander,0.8301886792452831,0.7,0.6511627906976745,0.6746987951807228
Black,0.8980021030494216,0.59375,0.628099173553719,0.6104417670682731
Other,0.9253731343283582,0.6666666666666666,0.75,0.7058823529411765
White,0.843468873695574,0.7566728739913098,0.5717636022514071,0.6513491851456051
