group,selection_rate_baseline,TPR_baseline,FPR_baseline,disparate_impact_vs_max_baseline,selection_rate_debiased_reweigh_race,TPR_debiased_reweigh_race,FPR_debiased_reweigh_race,disparate_impact_vs_max_debiased_reweigh_race,equal_opp_diff_baseline,equal_opp_diff_debiased_reweigh_race
Amer-Indian-Eskimo,0.052083333333333336,0.375,0.022727272727272728,0.20447530864197533,0.10416666666666667,0.5,0.06818181818181818,0.4140625,0.41279069767441856,0.25
Asian-Pac-Islander,0.25471698113207547,0.6627906976744186,0.10344827586206896,1.0,0.25157232704402516,0.6511627906976745,0.10344827586206896,1.0,0.41279069767441856,0.25
Black,0.07781282860147214,0.4297520661157025,0.02650602409638554,0.30548740117614986,0.13459516298633017,0.628099173553719,0.06265060240963856,0.5350157728706625,0.41279069767441856,0.25
Other,0.05970149253731343,0.25,0.03389830508474576,0.23438363736871198,0.13432835820895522,0.75,0.05084745762711865,0.533955223880597,0.41279069767441856,0.25
White,0.20271080724481227,0.5938086303939962,0.06833199033037873,0.7958276136277815,0.19323497661029146,0.5717636022514071,0.06317485898468976,0.7681090320259085,0.41279069767441856,0.25
