group,selection_rate,TPR,FPR,disparate_impact_vs_max
Amer-Indian-Eskimo,0.052083333333333336,0.375,0.022727272727272728,0.20447530864197533
Asian-Pac-Islander,0.25471698113207547,0.6627906976744186,0.10344827586206896,1.0
Black,0.07781282860147214,0.4297520661157025,0.02650602409638554,0.30548740117614986
Other,0.05970149253731343,0.25,0.03389830508474576,0.23438363736871198
White,0.20271080724481227,0.5938086303939962,0.06833199033037873,0.7958276136277815
