group,selection_rate,TPR,FPR,disparate_impact_vs_max
Amer-Indian-Eskimo,0.10416666666666667,0.5,0.06818181818181818,0.4140625
Asian-Pac-Islander,0.25157232704402516,0.6511627906976745,0.10344827586206896,1.0
Black,0.13459516298633017,0.628099173553719,0.06265060240963856,0.5350157728706625
Other,0.13432835820895522,0.75,0.05084745762711865,0.533955223880597
White,0.19323497661029146,0.5717636022514071,0.06317485898468976,0.7681090320259085
