group,mean,median,count
Amer-Indian-Eskimo,-1.6760775351789625,-2.008447143016634,96
Asian-Pac-Islander,-0.33186036129659213,-0.5879340733163865,318
Black,-1.651323373372182,-2.1787069961711802,951
Other,-1.9754889672603013,-1.972353568938454,67
White,-0.35258575212604315,-0.4102420157775381,8337
